Key,Type,Desc,English,German,French,Italian,Spanish,Japanese,Korean,Polish,Russian,Chinese (Simplified),Portuguese (Brazil),Chinese (Traditional)
CommNext/UI/RulersDisplayModeRelays,Text,Rulers display mode: Relays,Only relays,Nur Relais,Seulement les relais,Solo ripetitori,Solo relés,只有中继,릴레이만,Tylko przekaźniki,Только реле,只有中继,Apenas relés,只有中继
CommNext/UI/RulersDisplayModeAll,Text,Rulers display mode: All,All,Alle,Tous,Tutti,Todos,全部,모두,Wszystkie,Все,全部,Todos,全部
CommNext/UI/RulersTooltip,Text,Show sphere rulers tooltip,Show sphere rulers,Sphärenlineale anzeigen,Afficher les règles de la sphère,Mostra righelli sferici,Mostrar reglas de la esfera,显示球体标尺,구체 규칙 보기,Pokaż linijki sferyczne,Показать шаровые линейки,显示球体标尺,Mostrar réguas de esfera,显示球体标尺
CommNext/UI/VesselReportTooltip,Text,,Show vessel report,Schiffbericht anzeigen,Afficher le rapport du vaisseau,Mostra report del veicolo,Mostrar informe de la nave,显示船只报告,선박 보고서 보기,Pokaż raport statku,Показать отчет о судне,显示船只报告,Mostrar relatório da nave,显示船只报告
CommNext/UI/NoneBand,Text,None,None,Keine,Aucune,Nessuna,Ninguna,无,없음,Brak,Нет,无,Nenhum,无
CommNext/UI/RangeLabel,Text,Max Range for current vessel,Range {0},Reichweite {0},Portée {0},Raggio {0},Alcance {0},范围 {0},범위 {0},Zasięg {0},Дальность {0},范围 {0},Alcance {0},范围 {0}
CommNext/UI/DistanceLabel,Text,,Distance {0},Entfernung {0},Distance {0},Distanza {0},Distancia {0},距离 {0},거리 {0},Odległość {0},Расстояние {0},距离 {0},Distância {0},距离 {0}
CommNext/UI/NoPower,Text,Relay has no power,No power,Keine Stromversorgung,Aucune alimentation,Nessuna alimentazione,Sin alimentación,无电源,전원 없음,Brak zasilania,Нет питания,无电源,Sem energia,无电源
CommNext/UI/TooltipNoPowerCurrentVessel,Text,,Active vessel has no power,Der aktive Schiff hat keine Stromversorgung,Le vaisseau actif n'a pas d'alimentation,Il veicolo attivo non ha alimentazione,La nave activa no tiene energía,活动船只没有电源,활성 선박에 전원이 없습니다,Aktywny statek nie ma zasilania,Активное судно не имеет питания,活动船只没有电源,A nave ativa não tem energia,活动船只没有电源
CommNext/UI/FilterLabel,Text,Tooltip for filter dropdown,Filter,Filter,Filtre,Filtra,Filtrar,过滤,필터,Filter,Filtr,过滤,Filtro,过滤
CommNext/UI/SortLabel,Text,Tooltip for sort dropdown,Sort,Sortieren,Trier,Ordina,Ordenar,排序,정렬,Sortuj,Сортировать,排序,Ordenar,排序
CommNext/UI/FilterAll,Text,Filter all vessels,All,Alle,Tous,Tutti,Todos,全部,모두,Wszystkie,Все,全部,Todos,全部
CommNext/UI/ConnectionOutbound,Text,,Outbound,Ausgehend,Sortant,In uscita,Saliente,出站,발신,Wychodzące,Исходящий,出站,Saída,出站
CommNext/UI/ConnectionInbound,Text,,Inbound,Eingehend,Entrant,In entrata,Entrante,入站,입방향,Przychodzące,Входящий,入站,Entrada,入站
CommNext/UI/SortByDistance,Text,Sort by distance,Distance,Entfernung,Distance,Distanza,Distancia,距离,거리,Odległość,Расстояние,距离,Distância,距离
CommNext/UI/SortByBand,Text,Sort by band,Band,Band,Bande,Banda,Banda,频段,대역,Przepustka,Диапазон,频段,Banda,频段
CommNext/UI/SortBySignalStrength,Text,Sort by signal strength,Signal Strength,Signalstärke,Force du Signal,Intensità del Segnale,Potencia de la Señal,信号强度,신호 세기,Siła Sygnału,Уровень сигнала,信号强度,Força do Sinal,信号强度
CommNext/UI/SortByName,Text,Sort by vessel name,Name,Name,Nom,Nome,Nombre,名称,,Nazwa,Имя,名称,Nome,名称
CommNext/UI/In,Text,In (direction),In,In,In,In,In,入站,입방향,Przychodzące,Входящий,入站,Entrada,入站
CommNext/UI/Out,Text,Out (direction),Out,Out,Out,Out,Out,出站,발신,Wychodzące,Исходящий,出站,Saída,出站
CommNext/Simulation/KSCCommNet,Text,Name for the KSC CommNet displayed in network nodes list,KSC Ground Control,KSC-Bodenkontrolle,Contrôle au sol KSC,Controllo a Terra KSC,Control de Tierra KSC,KSC地面控制,KSC 지상 제어,KSC Kontrola Ziemi,Контрольный центр KSC,KSC地面控制,Controle de Solo KSC,KSC地面控制
